Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Geo_Location,Region,Collection_Date
OP684191.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ18-549/2018,Orthoflavivirus denguei,10679,China,Zhejiang,22/11/2018
OP684192.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ18-559/2018,Orthoflavivirus denguei,10679,China,Zhejiang,05/12/2018
OP684193.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ18-574/2018,Orthoflavivirus denguei,10659,China,Zhejiang,22/12/2018
OP684194.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ18-70/2018,Orthoflavivirus denguei,10659,China,Zhejiang,16/06/2018
OP684195.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ18-77/2018,Orthoflavivirus denguei,10659,China,Zhejiang,20/06/2018
OP684196.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-16/2019,Orthoflavivirus denguei,10659,China,Zhejiang,05/01/2019
OP684197.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-20/2019,Orthoflavivirus denguei,10659,China,Zhejiang,16/01/2019
OP684198.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-21/2019,Orthoflavivirus denguei,10659,China,Zhejiang,20/01/2019
OP684199.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-415/2019,Orthoflavivirus denguei,10659,China,Zhejiang,31/07/2019
OP684200.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-464/2019,Orthoflavivirus denguei,10659,China,Zhejiang,08/08/2019
OP684201.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-518/2019,Orthoflavivirus denguei,10659,China,Zhejiang,16/08/2019
OP684202.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-573/2019,Orthoflavivirus denguei,10658,China,Zhejiang,07/09/2019
OP684203.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-574/2019,Orthoflavivirus denguei,10659,China,Zhejiang,05/09/2019
OP684204.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-599/2019,Orthoflavivirus denguei,10658,China,Zhejiang,17/09/2019
OP684205.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-620/2019,Orthoflavivirus denguei,10658,China,Zhejiang,28/09/2019
OP684206.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-635/2019,Orthoflavivirus denguei,10658,China,Zhejiang,03/10/2019
OP684207.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-641/2019,Orthoflavivirus denguei,10659,China,Zhejiang,13/10/2019
OP684208.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-643/2019,Orthoflavivirus denguei,10657,China,Zhejiang,06/10/2019
OP684209.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-653/2019,Orthoflavivirus denguei,10658,China,Zhejiang,12/10/2019
OP684210.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-657/2019,Orthoflavivirus denguei,10658,China,Zhejiang,15/10/2019
OP684211.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-660/2019,Orthoflavivirus denguei,10658,China,Zhejiang,19/10/2019
OP684212.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-670/2019,Orthoflavivirus denguei,10658,China,Zhejiang,24/10/2019
OP684213.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-676/2019,Orthoflavivirus denguei,10658,China,Zhejiang,14/11/2019
OP684214.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-681/2019,Orthoflavivirus denguei,10658,China,Zhejiang,30/11/2019
OP684215.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-682/2019,Orthoflavivirus denguei,10658,China,Zhejiang,29/11/2019
OP684216.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ19-71/2019,Orthoflavivirus denguei,10659,China,Zhejiang,11/03/2019
OP315653.1,dengue virus type 1,"Hu,M., Wu,T., Yang,Y., Chen,T., Hao,J., Wei,Y., Luo,T., Wu, Li,Y.P., Li,Y.","Sun Yat-sen University, Institute of Human Virology, Zhongshan School of Medicine, and Key Laboratory of Tropical Disease Control of Ministry of Education",China,30/09/2022,D19044,Orthoflavivirus denguei,10464,China,Guangdong,04/09/2019
OP315654.1,dengue virus type 1,"Hu,M., Wu,T., Yang,Y., Chen,T., Hao,J., Wei,Y., Luo,T., Wu, Li,Y.P., Li,Y.","Sun Yat-sen University, Institute of Human Virology, Zhongshan School of Medicine, and Key Laboratory of Tropical Disease Control of Ministry of Education",China,30/09/2022,D19044_7M,Orthoflavivirus denguei,10735,China,Guangdong,04/09/2019
OP502777.1,dengue virus type 1,"Guo,L., Xu,M., Chen,Q., Yang,B., Wang,J.","Center for Disease Control and Prevention, Disease Control and Prevention Department",China,27/09/2022,ZZ-ZA/55/2019,Orthoflavivirus denguei,1485,China,Fujian,2019-08
OP502778.1,dengue virus type 1,"Guo,L., Xu,M., Chen,Q., Yang,B., Wang,J.","Center for Disease Control and Prevention, Disease Control and Prevention Department",China,27/09/2022,ZZ-ZA/52/2019,Orthoflavivirus denguei,1485,China,Fujian,2019-08
OP502779.1,dengue virus type 1,"Guo,L., Xu,M., Chen,Q., Yang,B., Wang,J.","Center for Disease Control and Prevention, Disease Control and Prevention Department",China,27/09/2022,ZZ-ZA/81/2019,Orthoflavivirus denguei,1485,China,Fujian,2019-09
OP502780.1,dengue virus type 1,"Guo,L., Xu,M., Chen,Q., Yang,B., Wang,J.","Center for Disease Control and Prevention, Disease Control and Prevention Department",China,27/09/2022,ZZ-ZA/105/2019,Orthoflavivirus denguei,1485,China,Fujian,2019-09
OP502781.1,dengue virus type 1,"Guo,L., Xu,M., Chen,Q., Yang,B., Wang,J.","Center for Disease Control and Prevention, Disease Control and Prevention Department",China,27/09/2022,ZZ-ZA/106/2019,Orthoflavivirus denguei,1485,China,Fujian,2019-09
OP502782.1,dengue virus type 1,"Guo,L., Xu,M., Chen,Q., Yang,B., Wang,J.","Center for Disease Control and Prevention, Disease Control and Prevention Department",China,27/09/2022,ZZ-ZA/110/2019,Orthoflavivirus denguei,1485,China,Fujian,2019-09
OP502783.1,dengue virus type 1,"Guo,L., Xu,M., Chen,Q., Yang,B., Wang,J.","Center for Disease Control and Prevention, Disease Control and Prevention Department",China,27/09/2022,ZZ-ZA/128/2019,Orthoflavivirus denguei,1485,China,Fujian,2019-09
OP502784.1,dengue virus type 1,"Guo,L., Xu,M., Chen,Q., Yang,B., Wang,J.","Center for Disease Control and Prevention, Disease Control and Prevention Department",China,27/09/2022,ZZ-ZA/177/2019,Orthoflavivirus denguei,1485,China,Fujian,2019-10
OP502785.1,dengue virus type 1,"Guo,L., Xu,M., Chen,Q., Yang,B., Wang,J.","Center for Disease Control and Prevention, Disease Control and Prevention Department",China,27/09/2022,ZZ-LH/154/2019,Orthoflavivirus denguei,1485,China,Fujian,2019-10
OP502786.1,dengue virus type 1,"Guo,L., Xu,M., Chen,Q., Yang,B., Wang,J.","Center for Disease Control and Prevention, Disease Control and Prevention Department",China,27/09/2022,ZZ-LH/162/2019,Orthoflavivirus denguei,1485,China,Fujian,2019-10
OP502787.1,dengue virus type 1,"Guo,L., Xu,M., Chen,Q., Yang,B., Wang,J.","Center for Disease Control and Prevention, Disease Control and Prevention Department",China,27/09/2022,ZZ-LH/163/2019,Orthoflavivirus denguei,1485,China,Fujian,2019-10
OP502788.1,dengue virus type 1,"Guo,L., Xu,M., Chen,Q., Yang,B., Wang,J.","Center for Disease Control and Prevention, Disease Control and Prevention Department",China,27/09/2022,ZZ-LH/173/2019,Orthoflavivirus denguei,1485,China,Fujian,2019-10
OP502789.1,dengue virus type 1,"Guo,L., Xu,M., Chen,Q., Yang,B., Wang,J.","Center for Disease Control and Prevention, Disease Control and Prevention Department",China,27/09/2022,ZZ-YX/166/2019,Orthoflavivirus denguei,1485,China,Fujian,2019-10
OP502790.1,dengue virus type 1,"Guo,L., Xu,M., Chen,Q., Yang,B., Wang,J.","Center for Disease Control and Prevention, Disease Control and Prevention Department",China,27/09/2022,ZZ-YX/185/2019,Orthoflavivirus denguei,1485,China,Fujian,2019-10
OP389112.1,dengue virus type 2,"Su,W., Cao,Y., Lu,W.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunology",China,13/09/2022,2022GZ01726_LKA,Orthoflavivirus denguei,10586,China,Guangdong,25/07/2022
MT705004.1,dengue virus type 1,"Zhang,J., Li,D.Y., Long,S.Y., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,08/08/2022,Myanmar-19-5,Orthoflavivirus denguei,1485,China: Xi Shuang Ban Na,Yunnan,2019-09
MT705005.1,dengue virus type 1,"Zhang,J., Li,D.Y., long,S.Y., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,08/08/2022,YN-19-03,Orthoflavivirus denguei,1485,China: Xi Shuang Ban Na,Yunnan,2019-06
ON911782.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1977/Cambodia,Orthoflavivirus denguei,1485,China,Sichuan,2019-07
ON911783.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD19249/Cambodia/2019,Orthoflavivirus denguei,1485,China,Sichuan,2019-12
ON911784.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1913/Cambodia/2019,Orthoflavivirus denguei,1485,China,Sichuan,2019-04
ON911785.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD19223/China(CQ)/2019,Orthoflavivirus denguei,1485,China,Sichuan,2019-10
ON911786.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD19187/China(YN)/2019,Orthoflavivirus denguei,1485,China,Sichuan,2019-09
ON911787.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD19161/Cambodia/2019,Orthoflavivirus denguei,1485,China,Sichuan,2019-09
ON911788.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1826/Cambodia/2018,Orthoflavivirus denguei,1485,China,Sichuan,2018-11
ON911789.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1934/Viet,Orthoflavivirus denguei,1485,China,Sichuan,2019-05
ON911790.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD19160/Thailand/2019,Orthoflavivirus denguei,1485,China,Sichuan,2019-09
ON911791.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1947/Cambodia/2019,Orthoflavivirus denguei,1485,China,Sichuan,2019-06
ON911792.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1311/Indonesia/2013,Orthoflavivirus denguei,1191,China,Sichuan,2013-07
ON911793.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1307/Singapore/2013,Orthoflavivirus denguei,1485,China,Sichuan,2013-06
ON911794.1,dengue virus type 3,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1804/Philippines/2018,Orthoflavivirus denguei,1479,China,Sichuan,2018-07
ON911795.1,dengue virus type 2,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1509/Africa/2015,Orthoflavivirus denguei,1485,China,Sichuan,2015-06
ON911796.1,dengue virus type 2,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1514/Myanmar/2015,Orthoflavivirus denguei,1485,China,Sichuan,2015-07
ON911797.1,dengue virus type 2,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1714/Myanmar/2017,Orthoflavivirus denguei,1485,China,Sichuan,2017-07
ON911798.1,dengue virus type 2,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1606/Maldives/2016,Orthoflavivirus denguei,1485,China,Sichuan,2016-03
ON911799.1,dengue virus type 2,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1605/Maldives/2016,Orthoflavivirus denguei,1485,China,Sichuan,2016-03
ON911800.1,dengue virus type 2,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1705/Thailand/2017,Orthoflavivirus denguei,1485,China,Sichuan,2017-02
ON911801.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1408/Thailand/2014,Orthoflavivirus denguei,1485,China,Sichuan,2014-07
ON911802.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1423/China(GD)/2014,Orthoflavivirus denguei,1485,China,Sichuan,2014-10
ON911803.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1611/Maldives/2016,Orthoflavivirus denguei,1224,China,Sichuan,2016-05
ON911804.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1829/ChinaSR/2018,Orthoflavivirus denguei,1485,China,Sichuan,2018-12
ON911805.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1413/China(GD)/2014,Orthoflavivirus denguei,1485,China,Sichuan,2014-09
ON911806.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1416/China(GD)2014,Orthoflavivirus denguei,1485,China,Sichuan,2014-10
ON911807.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1204/India/2012,Orthoflavivirus denguei,1485,China,Sichuan,2012-08
ON911808.1,dengue virus type 1,"Li,W., Jiang,M.F., Zhong,H.R., Cao,Y.O., Feng,Y.L.","Sichuan Center of Disease Control and Prevention, Institute of Microbiological Detection and Analyses",China,11/07/2022,SCD1414/China(GD)2014,Orthoflavivirus denguei,1224,China,Sichuan,2014-09
